"code"	"name"	"nameascii"	"geonameid"
"US.IA.091                                                                       "	"Humboldt County"	"Humboldt County"	4861343
"US.CA.023                                                                       "	"Humboldt County"	"Humboldt County"	5565500
"US.NV.013                                                                       "	"Humboldt County"	"Humboldt County"	5704974
